Link to More Information," Project Name 
(Number/Year Loan Approved)  
and Description",A/Ma,Target Resultsb,"Total Project Cost
($ million)","Loan Approval
($ million)c","Eligibility for Green Bonds
($ million)d","Allocated Amount 
($ million)e"," Reflow Amount 
($ million)f "
http://www.adb.org/projects/43441-013/main?page-2=1,"Turkmenistan: North–South Railway (2737/FY2011). Increase accessibility and regional trade, and contribute to economic growth and the development of an integrated and efficient railway system in the region.",M,"• Total national transit tonnage increased to 6 million tons (2008 baseline: 3 million tons).
• About 1.6 million tons of minerals transported via the project railway in 2015.
• Performance tracking system developed for periodic inspection, supervision, and testing.
• CO2 emissions reduced to 26,800 tons by 2020 (2008 baseline: estimated at 37,000 tons).
• Fully disbursed.",166.70,125.00,125.00,44.43, (48.09)
http://www.adb.org/projects/40080-013/main?page-2=1&page-3=1,"Viet Nam: Ha Noi Metro Rail System (Line 3: Nhon–Ha Noi Station Section) (2741/FY2011). Facilitate public transport connectivity; greatly enhance access in five districts of Ha Noi; and be an integral part of an improved public transport system, which aims to achieve increased public modal share through low-carbon transport that reduces GHG emissions.",M,"• Peak loading of 785,000 passenger-km per day and 5,800 passengers per hour per direction on Line 3 by 2020.
• Weighted average travel time per passenger along the project corridor reduced by 25% by 2020 (2011 baseline: 52 minutes).",856.00,293.00,293.00,150.26, (22.37)
http://www.adb.org/projects/43332-043/main,"China, People's Republic of (PRC): Railway Energy Efficiency and Safety Enhancement Investment Program, Tranche 3 (2765/FY2011). Improve energy efficiency, environmental protection, and safety in railways in the PRC. ",M,"• Energy efficiency, environmental protection, and safety enhancement equipment installed.
• Safety audit of a nominated railway administration completed.
• Capacity-building program provided.
• Fully disbursed.",300.00,250.00,250.00,227.06, (58.23)
http://www.adb.org/projects/36330-023/main?page-3=1,"India: Railway Sector Investment Program, Tranche 1 (2793/FY2011). Improve transport system and support greater mobility through an efficient, safe, reliable, and environment-friendly railway system. ",M,"• Physical infrastructure expanded and efficiency of infrastructure use enhanced.
• Operational efficiency improved.
• Implementation support provided to the Ministry of Railways for mitigation and carbon credit activities.
• Fully disbursed.",150.00,150.00,150.00,123.67, (40.76)
http://www.adb.org/projects/42169-013/main?page-3=1&page-4=1,"Bangladesh: Greater Dhaka Sustainable Urban Transport Project (2862/FY2012). Provide a holistic solution for integrated urban mobility through an energy-efficient sustainable urban transport system in Gazipur City Corporation, which forms part of north Greater Dhaka.",M,"• Annual average of 40,000 tons of CO2 equivalent emissions reduced (versus without-project scenario).
• Annual level of air pollutants (PM10) decreased by 20% (2006 baseline: 76.72 μg/m3).
• Gazipur City Corporation walkability index rating improved from 39 (2010 baseline) to 60 out of 100.
• Residents’ positive perception of public transport and urban life quality improved by 50% from 2012 baseline.
• BRT achieved daily ridership of 100,000 passengers (at least 30% women) in the first year of operations. 
• Modal share of public transport increased from 40% (2011 baseline) to 50%.",255.00,100.00,100.00,97.50, (17.94)
http://www.adb.org/projects/45023-002/main?page-2=1&page-3=1,"China, People's Republic of: Hubei–Yichang Sustainable Urban Transport Project (3014/FY2013). Improve overall traffic flow, and reduce congestion and associated emissions as well as noise level along the main corridor in the city center by (i) building bus rapid transit (BRT) corridors, including depots; (ii) improving provision for pedestrian and bicycle facilities; (iii) establishing parking management plan; and (iv) implementing other traffic demand management measures.",M,"By 2018:
• Bus traffic speed increased from 15 kph (2011) to 25 kph on BRT corridors.
• Passenger travel time reduced from 20 minutes on average (2011) to 10 minutes.
• Freight travel time between inland ports and logistics centers reduced by 20% from 2011.
• Pass-dam trans-shipment freight travel time to logistics centers reduced from 2 hours (2011) to 1 hour.",515.10,150.00,107.60,107.55, (28.41)
http://www.adb.org/projects/46417-001/main?page-2=1&page-3=1,"India: Jaipur Metro Rail Line 1, Phase B Project (3062/FY2013). Provide mass rapid transit (MRT) capacity for the city’s major mobility corridors, aiming to reverse the rising shift to private cars and achieve a vision of an improved public transport system in Jaipur—optimizing general mobility, enhancing quality of life, and making the city more pleasant to live and work in.",M,"• Average daily number of passengers using Line 1 (Phase B) reached 126,000 in the first year of operations (2018–2019).
• Underground rail infrastructure of 2.3 km and two stations completed by 2018.",259.00,176.00,176.00,119.26, (33.44)
http://www.adb.org/projects/43332-053/main,"China, People's Republic of: Railway Energy Efficiency and Safety Enhancement Investment Program, Tranche 4 (3082/FY2013). Provide significant environmental and safety benefits by introducing environmental protection and railway safety enhancement equipment, such as anti-seismic bridge bearings, enhanced railway fasteners, heavy duty switches, and signaling system facilities.",M,"• Transport capacity expanded in the southwestern PRC to 470 billion ton-km for freight and 150 billion passenger-km for passengers in 2020.
• Cost of travel reduced from 35 fen per km in 2008 to 15 fen per km in 2020.
• Accidents per billion traffic reduced by 20% from 2008 to 2020.",547.60,180.00,180.00,176.17, (44.88)
http://www.adb.org/projects/32234-053/main,"Bangladesh: Railway Sector Investment Program, Tranche 3 (3097/FY2013). Improve railway transport capacity in the mainline network of Bangladesh Railway.",M,"• Number of daily passenger trains increased by 10 (2011 baseline: 289).
• Number of annual passengers increased by 10% (2011 baseline: 66 million).
• Fully disbursed.",100.00,100.00,100.00,72.39, (25.84)
http://www.adb.org/projects/43332-054/main,"China, People's Republic of: Railway Energy Efficiency and Safety Enhancement Investment Program, Tranche 5 (3109/FY2014). Support the development of a sustainable, energy-efficient, safe, reliable, affordable, and environment-friendly railway system in the PRC through the procurement and installation of a railway electrification system, a railway electric power supply system, track safety operation and maintenance equipment, enhanced railway fasteners, anti-seismic bridge bearings, railway telecommunication system, and a railway signaling system.",M,"• Transport capacity expanded in the southwestern PRC to 470 billion ton-km for freight trains and 150 billion passenger-km for passenger trains in 2020.
• Energy consumption by PRC railways per unit of revenue reduced by 23% from 2009 to 2020.",580.15,170.00,170.00,152.32, (34.42)
http://www.adb.org/projects/46168-001/main?page-2=1,"Bangladesh: SASEC Railway Connectivity—Akhaura–Laksam Double Track (3169/FY2014). Increase the capacity of the Dhaka–Chittagong corridor by (i) completing the double tracking on the entire corridor, which accounts for more than 40% of all passenger journeys by railway in Bangladesh; and (ii) upgrading and reconstructing the existing track.",M,"• Number of daily passenger trains from Dhaka to Chittagong increased to 17 (2013 baseline: 14 trains per day and direction).
• Journey time of trains between Akhaura and Laksam reduced by 20% (2013 baseline: 77 minutes).
• Annual GHG reduced 145,000 metric tons.",805.00,400.00,400.00,258.70, (57.22)
http://www.adb.org/projects/49094-001/main?page-2=1,Bangladesh: Railway Rolling Stock Project (3301/FY2015). Increase railway transport capacity in the main line network of Bangladesh Railway. ,M,"• Number of daily passenger trains increased by 10 (2011 baseline: 289).
• Number of annual passengers increased by 10% (2011 baseline: 66 million).",294.00,200.00,200.00,163.91, (36.98)
http://www.adb.org/projects/40080-013/main?page-2=1,"Viet Nam: Ha Noi Metro Line System Project (Line 3: Nhon–Ha noi Station Section), Additional Financing (3363/FY2015). Facilitate public transport connectivity; greatly enhance access in five districts of Ha Noi; and become an integral part of an improved public transport system that aims to achieve increased public modal share through low-carbon transport that reduces GHGs.",M,"• Peak loading of 785,000 passenger-km per day and 5,800 passengers per hour per direction on Line 3 by 2020.
• Weighted average travel time per passenger along the project corridor reduced by 25% by 2020 (2011 baseline: 52 minutes).",385.20,59.00,59.00,0.00, (0.17)
https://www.adb.org/projects/32234-063/main,"Bangladesh: Railway Sector Investment Program, Tranche 4,  Additional Financing (3376/FY2016). Improve efficiency and safety of railway transport in Bangladesh.",M,"• Number of daily passenger trains from Tongi to Bhairab Bazar increased by 25% (2011 baseline: 44).
• Number of annual passengers increased by 10% (2011 baseline: 66 million).
• Fully disbursed.",52.47,50.00,50.00,22.63, (6.30)
https://www.adb.org/projects/46452-003/main,"Bangladesh: SASEC Chittagong–Cox's Bazar Railway Project, Phase 1, Tranche 1 (3438/FY2016). Support the construction of a new 102-km Dohazari–Cox's Bazar railway corridor in southeastern Bangladesh, and strengthen the capacity of the railway sector in project management and implementation to improve the national and subregional railway network.",M,"By 2024:
• 10 passenger trains operating daily between Chittagong and Cox's Bazar (2016 baseline: 0).
• 2.9 million annual passengers transported between Chittagong and Cox's Bazar (2016 baseline: 0).
• Cox's Bazar district connected to the national and subregional railway network (2016 baseline: not connected).
• Annual GHG reduced 46,647 metric tons.","2,013.00",210.00,210.00,195.12, (37.81)
