Link to More Information," Project Name 
(Number/Year Loan Approved)  
and Description",A/Ma,Target Resultsb,"Total Project Cost
($ million)","Loan Approval
($ million)c","Eligibility for Green Bonds
($ million)d","Allocated Amount 
($ million)e"," Reflow Amount 
($ million)f "
http://www.adb.org/projects/42016-013/main?page-2=1&page-3=1,"China, People's Republic of: Qinghai Rural Water Resources Management (2738/FY2011). Increase water use efficiency, convert existing lift irrigation to gravity irrigation, improve agricultural extension services, and empower farmer associations for irrigated agricultural service and management.",A and M,"• Spring wheat yield increased from 4.6 tons per ha in 2009 to 5.7 tons per ha by 2016, and winter wheat yield increased from 5.8 tons per ha in 2009 to 7.2 tons per ha by 2016.
• High-value crops diversified on additional 3,000 ha by 2016.
• Irrigation water use efficiency increased from 35% in 2009 to 56% by 2016.
• 13,903 ha of irrigable land served by rehabilitated or newly constructed irrigation systems by 2016.
• Crops diversified with 30% of commercial crops, and training provided by 2016.
• Gravity irrigation cover increased from 26% to 89% of the irrigated areas in project counties.
• Average operation and maintenance cost, including electricity, reduced from CNY0.168 per m3 for lift irrigation to CNY0.033 per m3 for gravity irrigation.",223.60,60.00,45.32,36.71, (17.86)
https://www.adb.org/projects/47071-002/main#project-pds,"China, People's Republic of: Fujian Farmland Sustainable Utilization and Demonstration Project (3450/FY2016). Improve rural farmland infrastructure and demonstrate sustainable farming practices in 13 project counties of Fujian Province to reduce land and environmental degradation. Sustainable farming systems simultaneously maintain agricultural productivity; enhance the natural environment; promote more efficient use of key inputs, including water, crop nutrients, pesticides, energy, land, and labor; and contribute to better ecosystem services.",A and M,"By end of 2022:
• At least 200,000 mu of sloping land rehabilitated and/or established.
• At least 63,700 mu of valley-floor cropland rehabilitated and/or established.
• At least 250,000 mu of farmland with irrigation systems established.
• At least 63,700 mu of valley-floor cropland with irrigation and drainage facilities improved.
• At least 1,000 km of farm access roads built.
• At least 25 km of dykes and/or embankment protection established.
• Community participation in detailed design and implementation of project activities completed, including 50% women participants.
• Employment of local people (58,200) provided during construction, including at least 35% women.
• Four participating enterprises equipped with soil nutrient-based testing equipment.
• Balanced fertilizer application rates adopted on at least 63,700 mu of valley-floor cropland.
• Organic fertilizer adopted on at least 250,000 mu of farmland.
• Integrated pest management practices adopted on at least 80,000 mu of tea and tea oil gardens, and pomelo orchards.
• Eight participating enterprises equipped with product quality testing equipment.
• Participating private enterprises provide employment to local people (3,200), including at least 35% women.
• 70 farmer institutions (including farmers’ cooperatives and agricultural infrastructure maintenance units) collaborating with participating enterprises. ",191.42,100.00,46.90,36.82, (3.56)
https://www.adb.org/projects/48409-002/main#project-pds,"Cambodia: Climate-Friendly Agribusiness Value Chains Sector Project (3661/FY2019). Support the government's Agricultural Sector Strategic Development Plan, 2014–2018 and its Industrial Development Policy, 2015–2025 by improving the competitiveness of agribusiness value chains in Kampong Cham and Tboung Khmum provinces along the Greater Mekong Subregion southern economic corridor, and in Kampot and Takeo provinces along the south coastal economic corridor. 

Boost the climate resilience of critical agricultural infrastructure and help commercialize rice, maize, cassava, and mango production. It will help increase crop productivity and diversification; improve the capacity for storage, processing, and quality and safety testing; and promote the use of solar and bioenergy. It will strengthen the technical and institutional capacity for climate-smart agriculture and create an enabling policy environment for climate-friendly agribusinesses. This will in turn promote long-term environmental sustainability and enhance the profitability for farmers and agribusinesses.",A and M,"By 2024:
• 27 irrigation and water management systems targeting 15,000 ha and 25,000 households (with at least 50,000 women), respectively, rehabilitated and made climate-resilient. 
• 800 on-farm rainwater harvesting ponds commissioned. 
• At least 250 km of farm roads upgraded to climate-resilient standards to improve connectivity of farms to cooperatives and markets.
• 80 agricultural cooperatives have integrated adaptation measures in post-harvest infrastructure investments.
• Crop product quality and safety testing infrastructure in the National Agricultural Laboratory upgraded to test 1,500 samples and generate service income of more than $75,000.
• An additional 12,000 biodigesters and 6,000 compost huts made operational, benefiting at least 80,000 persons, including at least 50% women, due to better household air quality (2017 baseline beneficiaries: 11,468 persons, including 5,721 women).
• Three additional climate-resilient varieties of rice and maize released.
• 27 farmer water user committees or farmer water user groups made operational and 500 of their members (of which 30% are women) developed capacity to operate and maintain their irrigation schemes.",141.04,90.00,4.12,2.05, -   
https://www.adb.org/projects/51162-001/main#project-pds,"Armenia: High-Efficiency Horticulture and Integrated Supply Chain Project (3642/FY2019). Support the development of 30 ha of climate-controlled greenhouses equipped with drip irrigation systems in Yerevan to produce tomatoes and bell peppers. These products will be exported to the Russian Federation and the United Arab Emirates, leveraging Spayka's existing supply chain and client network.",A,"By 2020:
• Greenhouse cultivation area with drip irrigation reached 105 ha, of which 30 ha is financed by the project.
• At least $300,000 in total payments to the government provided during construction and early operations.  
• At least $3 million in total domestic purchases made during construction and early operations.  
• 100% of female greenhouse workers trained in good agriculture practices and techniques, and provided with safety training.",36.80,32.00,18.80,18.80, (1.27)
https://www.adb.org/projects/49107-005/main#project-pds,"India: Tamil Nadu Urban Flagship Investment Program, Tranche 2 (3862/FY2019). Develop climate-resilient water supply, sewerage, and drainage infrastructure in at least 10 cities in strategic industrial corridors in Tamil Nadu.",A and M,"By December 2025:
• One existing sewage treatment plant, with capacity of 15.0 MLD, rehabilitated (Tiruppur); and two new sewage treatment plants (Ambur and Tiruppur), with total capacity of 72.7 MLD, added.
• New sewage collection pipelines (1,328 km) commissioned and connected to 152,593 households in four ULBs (Ambur, Tiruchirappalli, Tiruppur, and Vellore), including 100% poor households and households headed by women in the coverage area.
• Addition of 25 sewage pump stations and 44 lift stations in four ULBs (Ambur, Tiruchirappalli, Tiruppur, and Vellore), with capacity of 3,690 kW.
By December 2025:
• New water distribution pipelines (1,260 km) commissioned within 66 new district metered areas; and metered connections provided to 188,900 households in Tiruppur and Madurai (100% households, including poor households and households headed by women in coverage area).
• Three new pump stations (Tiruppur and Madurai) installed, with combined capacity of 7,225 kW; and 196 km of new transmission mains maximizing gravity flow in Madurai and 230 km of feeder mains constructed.  
• 66 new reservoirs (Tiruppur and Madurai) constructed, with combined capacity of 92 ML. 
• Two new intakes and two new water treatment plants, with combined capacity of 321 MLD, installed in Tiruppur and Madurai.",593.00,206.00,96.75,62.64, (4.94)
https://www.adb.org/projects/49169-002/main#project-pds,"Mongolia: Ulaanbaatar Green Affordable Housing and Resilient Urban Renewal Sector Project (3694–3695/FY2019). Deliver sustainable and comprehensive solutions to transform the substandard, climate-vulnerable, and heavily polluting ger areas of Ulaanbaatar City into affordable, low-carbon, climate-resilient, and livable eco-districts; leverage private sector investments to (i) deliver 10,000 affordable green housing units and (ii) redevelop 100 ha of ger areas into eco-districts.",A and M,"By 2026:
• 1,500 social housing units constructed.
• 13.7 km of road, 5.5 km of water supply pipes, 6.1 km of sewerage network, 5.5 km of district heating pipes, and 450 low-consumption street lights constructed.
• 15 ha of public space and green areas, and 36,000 m2 of public facilities constructed.
• 72,000 m2 of photovoltaic solar panels installed.
• All constructed buildings equipped with energy-efficient insulation, utility metering, and heating regulation systems. 
• In targeted areas, 2,000 m2 of greenhouses built.
• Smart monitoring system and sensors for building performance and renewable energy control installed, including energy storage pilot of 0.5-MW capacity.
• 100,000 person-months of employment opportunities during project construction, of which 30% are filled by women, created.
• From at least 20 developer subloans approved and released by EDAF: 
(i) 5,500 affordable housing and 3,000 market-rate housing units built; 
(ii) 204,000 m2 of commercial facilities, shops, and parking; and 22 km of pedestrian and bike lanes built;
(iii) 79,000 m2 of greenhouses installed; and
(iv) 100% of constructed buildings equipped with energy-efficient insulation, utility metering, and heating regulation systems.",570.10,80.00,80.00,24.17, (0.93)
https://www.adb.org/projects/51423-002/main#project-pds,"Mongolia: Vegetable Production and Irrigated Agriculture Project (3895/3896/FY2020). Support the modernization of government-owned irrigation networks serving about 7,000 ha of land through diversification from traditional low-value grain crops into high-value vegetables and building of farmers’ capacity for climate-smart production and better water and irrigation management. ",A  and M,"By 2026:
• Irrigation and drainage infrastructure upgraded and modernized to service at least 7,000 ha of farmland (2019 baseline: 1,117 ha).
• All project soums (districts) ensure operation and maintenance of project-supported irrigation schemes (2019 baseline: 0).
• Pilot irrigation asset management systems commissioned in one project soum in the western region, and in one each in the central or eastern regions (2019 baseline: 0).",46.25,29.30,29.30,10.08, -   
https://www.adb.org/projects/53022-001/main#project-pds,"Kyrgyz Republic: Landslide Risk Management Sector Project (4085/FY2021). Reduce the risk to communities and infrastructure from landslide events by (i) implementing landslide mitigation engineering measures, (ii) improving landslide monitoring systems, and (iii) strengthening capacity for landslide risk management.",A,"By 2029:
•  Risk of landslide decreased for about 4,700 people, of which at least 50% are women (2020 baseline: 0).
•  Risk of landslides decreased for about 650 ha of land, 65 km of linear infrastructure, and 14 community buildings  (2020 baseline: 0).
By 2028:
•  About 3.0 million m3 of slope unloaded and reshaped for landslide risk reduction, including 100 ha of revegetated slopes (2020 baseline: 0).
•  About 40 km of drainage conduits installed on slopes for landslide risk reduction (2020 baseline: 0).
By 2026:
• On-site landslide monitoring systems installed in about 20 at-risk sites (2020 baseline: 0).
•  One integrated IT system for real-time on-site and InSAR landslide monitoring operational (2020 baseline: 0).",39.00,11.50,5.75,0.30, -   
https://www.adb.org/projects/56137-001/main,"India: Smartchem Climate-Smart High Efficiency Crop Nutrition Project (4191/FY2022). Support farmers to adopt enhanced-efficiency specialty fertilizers, such as slow- and controlled-release fertilizers and water-soluble fertilizers, which will aid increased food production toward increased farmer income and food security in India. Higher efficiency in nutrient delivery will result in increased agricultural productivity, reduced water and soil contamination, and improved resilience to climate change.  ", A ,"•  Average capacity utilization rate of enhanced-efficiency fertilizer production increased.
•  Smallholder farmers, which include women, trained in modern farming, climate-resilient agricultural practices, and financial literacy..",32.53,30.00,26.10,0.00, -   
https://www.adb.org/projects/48218-006/main,"Nepal: Nuts and Fruits in Hilly Areas Project (4211/FY2022). Increase agricultural income of about 40,000 farm households in 100 municipalities in hilly areas of five provinces: Province 1, Bagmati, Gandaki, Karnali, and Sudurpashchim. This will be mainly achieved through the development of about 10,000 ha of climate-resilient fruit and nut orchards providing value-addition to the nuts and fruits produced by at least 30,000 farm households. ", A and M ,"By 2030:
•  Agricultural income of beneficiary farmer households increased by at least 10% (OP 1.3) (2021 baseline: not applicable).
•  At least 50 municipalities providing agro-climatic data to at least 50% of farmer household beneficiaries (2021 baseline: not applicable).
By 2029:
•  At least 40 private nursery partnerships established (2021 baseline: 0).
•  At least 10 private nurseries supported for disease-free sapling management (2021 baseline: 0).
•  At least 10,000 ha of new fruit and nut orchards established, with at least 30% women and 20% disadvantaged group household representation (2021 baseline: 0).
•  At least 1,000 ha of climate-smart vegetable and other nutritious crop production areas established, with at least 30% women and 20% disadvantaged group household representation (2021 baseline: 0).
•  At least 30,000 households supported for fruit and nut production and marketing, with at least 30% women and 20% disadvantaged group household representation (2021 baseline: 0).
•  At least 10,000 households supported for vegetable production and marketing with at least 30% women and 20% disadvantaged group household representation (2021 baseline: 0).
•  At least 40% of project areas improved through drip irrigation infrastructure, with at least 40% of land managed by women or disadvantaged group representatives (2021 baseline: 0).
•  At least 20,000 farmers reporting increased awareness of “packages of practice,” of which at least 40% are women or from disadvantaged groups (2021 baseline: 0).
",93.45,60.00,56.10,0.96, -   
