project_name,actual_co2_tons,total_project_cost_mil_usd,category,log_co2
"Indonesia: Java–Bali Electricity Distribution Performance Improvement (2619/FY2010).
Reduce distribution system losses and, with an energy-efficient lighting program, reduce demand-side energy consumption.",330000,120.00,EE,12.706850963741102
"China, People's Republic of: Integrated Renewable Biomass Energy Development Sector (2632/FY2010). Improve performance of biogas subsector through the demonstration of an integrated renewable biomass energy system in poor rural areas of Heilongjiang, Henan, Jiangxi, and Shandong provinces in the People's Republic of China.",1000000,152.54,RE,13.815511557963774
"Papua New Guinea: Town Electrification Investment Program, Tranche 1 (2713/FY2010). Increase generation and use of renewable energy in provincial areas.",35000,71.60,RE,10.463131911491967
"China, People’s Republic of:Agricultural and
Municipal Waste-to-Energy Project
(7368/2899/2900/FY2012). Increase power generation from municipal solid waste, a form of renewable energy resource.",255200,200.00,RE,12.449806748940393
"Regional: Southeast Asia Energy Efficiency Project (Cofely Southeast Asia Pte) (7371/2919/FY2012). Support the investment program to expand and upgrade energy efficiency services in Cambodia, Indonesia, the Lao People’s Democratic Republic, Malaysia, the Philippines, Thailand, and Viet Nam by removing financial constraints and information barriers that inhibit the development of an energy efficiency market.",90000,200.00,EE,11.407576060361786
"China, People's Republic of: Dynagreen Waste-to-Energy Project (7377/2960/FY2012). Increase power generation from municipal solid waste, a form of renewable energy.",450000,378.50,RE,13.017005083966255
"China, People's Republic of: Qinghai Delingha Concentrated Solar Power Thermal Project (3075/FY2013). Increase solar power generation using concentrated solar power technology; increase share of renewable energy in the total primary energy consumption.",154446,322.26,RE,11.94760627439635
Indonesia: Sarulla Geothermal Power Generation Project (7397/3089/FY2013). Increase use of geothermal resources for power generation.,1300000,"1,239.30",RE,14.077875591662238
Cook Islands: Renewable Energy Sector Project (3193/FY2014). Increase solar power generation capacity by 3 MWp.,2930,24.28,RE,7.983098940710892
Thailand: Chaiyaphum Wind Farm Company Limited (Subyai Wind Power Project) (7435/3219/FY2014). Increase wind power generation capacity by 81 MW.,65000,not disclosedg,RE,11.082157933374816
Philippines: 150-MW Burgos Wind Farm Project (7442/3246/FY2015). Increase wind power generation capacity by 150 MW.,160114,20.00,RE,11.983647586038884
"India: Mytrah Energy (India) Limited (Mytrah Wind and Solar Development Project) (7474–7479/3379–3384/FY2016). Finance transaction comprising 476 MW of wind projects in four special purpose vehicles in Rajasthan, Madhya Pradesh, Andhra Pradesh, and Karnataka; and 100 MW of solar projects in two special purpose vehicles in Telangana and Punjab.",1185165,669.50,RE,13.985393407128653
"India: Demand-Side Energy Efficiency Sector Project (3436/FY2016). Provide a loan to Energy Efficiency Services Limited (EESL) to support demand-side energy efficiency investments in several Indian states, covering high-priority areas under EESL's energy services company through the use of more efficient light-emitting diode (LED) municipal street lighting equipped with remote operating technology; more efficient domestic lighting through replacement of incandescent lights with LEDs; and more energy-efficient agricultural water pumps. ",3000000,400.00,EE,14.914123179965662
"Pakistan: Triconboston Wind Power (Triconboston
Consulting Corporation (Private) Limited) (7487/3448/FY2016). Construct, commission, and operate three 50-MW wind power projects located in Thatta District, Sindh Province, in the south of Pakistan. ",380000,360.00,RE,12.847929163278053
"Pakistan: Access to Clean Energy Investment Program (3476/FY2016). Expand access to renewable energy, notably micro-hydropower plants in rural off-grid areas and decentralized solar plants for education and primary health care facilities in Khyber Pakhtunkhwa and Punjab; provide women and girls with increased opportunities to obtain energy services and benefits; enhance institutional capacity to foster sustainability; and promote public sector energy efficiency in Punjab.",74800,376.45,RE and EE,11.222586532857163
"Indonesia: Muara Laboh Geothermal Power Project (PT Supreme Energy Muara Laboh) (3487/FY2016). Develop geothermal steam resources through production and injection facilities in the Liki Pinangawan Muaralaboh concession area; and construct, operate, and maintain a single power generation unit with a total capacity of about 80 MW. ",471240,590.90,RE,13.06312491941875
"Cambodia: Cambodia Solar Power Project (Sunseap Asset (Cambodia) Co. Ltd.) (7498/3495/FY2016). Support a build–own–operate, public–private partnership transaction for a 10-MW solar power plant to be located in Bavet city in Svay Rieng Province, about 150 km from the capital Phnom Penh. The project is the first utility-scale solar power plant in Cambodia, and the first competitively tendered renewable energy independent power producer project in the country. ",9500,not disclosedg,RE,9.15915233520675
"India: ReNew Clean Energy Project (ReNew Power Ventures Private Limited) (7495/3488,7504–7509/3514–3519/FY2016). Provide funding to seven special purpose vehicles established by ReNew for the purposes of developing 709 MW of solar and wind projects in the states of Andhra Pradesh, Gujarat, Jharkhand, Karnataka, Madhya Pradesh, and Telangana.",1200000,778.20,RE,13.997832948091215
