Link to More Information," Project Name 
(Number/Year Loan Approved)  
and Description",Ocean Finance Framework - Primary Focus Area,Ocean Finance Framework - Primary Objective,Target Resultsa,"Total Project Cost
($ million)","Loan Approval
($ million)b","Eligibility for Blue Bonds
($ million)c","Allocated Amount 
($ million)e"," Reflow Amount 
($ million)f "
https://www.adb.org/projects/50099-002/main#project-pds,"Cambodia: Fourth Greater Mekong Subregion (GMS) Corridor Towns Development Project (3686/FY2018). Improve urban services and enhance regional economic connectivity in the provincial capital towns of Kampong Cham, Kratie, and Stung Treng along the GMS Corridor in Cambodia.",Pollution control,Wastewater management,"By 2026:
•  31% of the town population in Kampong Cham, Kratie, and Stung Treng
(41,400 residents) serviced by new wastewater collection and treatment facilities (2017 baseline: 0 residents).
•  90% of the town population in Kampong Cham, Kratie, and Stung Treng
(120,400 residents) served by improved solid waste management (2017 baseline: 48,000 residents).
By 2024:
• Three new lagoon-based wastewater treatment plants with 13,750 m3/day capacity constructed (2017 baseline: 0).
•  At least 420 km combined trunk and wastewater collection pipeline constructed (2017 baseline: 0).
•  At least 9,000 households and commercial buildings connected to the wastewater treatment system (including 1,500 households headed by women) (2017 baseline: 0).
•  Three controlled landfills with capacity of 1,624,500 m3 constructed and operational (2017 baseline: 0).",88.50,78.50,62.00,29.46, -   
https://www.adb.org/projects/49387-002/main#project-pds,"Regional: Second Greater Mekong Subregion (GMS) Tourism Infrastructure for Inclusive Growth Project (3701/FY2018). Transform secondary GMS central and southern corridor towns into economically inclusive, competitive tourism destinations by improving transport infrastructure, urban environmental services, and capacity to sustainably manage tourism growth. Boost trade in services and deepen regional cooperation and integration in the GMS and Association of Southeast Asian Nations (ASEAN).",Pollution control,Wastewater management,"By 2024:
• 30 m3 per day of wastewater treatment capacity constructed (2017 baseline: 0).
•  Solid waste management services improved for 5,700 households (2017 baseline: 2,596 households).",79.69,30.00,8.00,7.49, (0.03)
https://www.adb.org/projects/51116-002/main#project-pds,"China, People's Republic of: Yangtze River Green Ecological Corridor Comprehensive Agriculture Development Project (3740/FY2018). Strengthen rural livelihoods, especially the rural poor communities that rely most on natural resources as the basis for their primary source of income, to modernize their agriculture production systems and minimize environmental degradation and nonpoint source (NPS) pollution. The proposed project will be implemented in five provinces and one municipality in the upper and middle reaches of the Yangtze River Basin, notably Yunnan, Sichuan, Guizhou, Chongqing, Hunan, and Hubei.",Pollution control,Non-point source pollution management,"By mid-2024:
• At least 600 m3 farming waste collection facilities commissioned (2018 baseline: 0 m3).
• At least 21,400 m3  for animal and 20,308 m3 for household waste treatment facilities commissioned (2018 baseline: 0 m3).
• At least 31 sets of watershed pollution monitoring equipment commissioned (2018 baseline: 0).",506.80,300.00,150.00,144.66, (14.53)
https://www.adb.org/projects/52023-001/main#project-pds,"China, People's Republic of: Henan Dengzhou Integrated River Restoration (3865/FY2019). Implement integrated water resources management (IWRM) focusing on upstream downstream linkages and urban rural integration for the restoration of the Tuan River. Improve water security and environmental sustainability in Dengzhou City.",Pollution control,Wastewater management,"By end of 2026:
• Water quality at the outlet of Dengzhou City’s Zhao River in Tuan River Basin meets Class III standardf (2018 baseline: Class V).
By end of 2025:
• Wastewater treatment plants with 33,500 m3/day capacity and 25.82 km of wastewater collection networks constructed (2018 baseline: 0).
• Advanced dry and wet solid waste separation unit serving 20 t/day installed in Rangdong Township (2018 baseline: 0).",423.12,200.00,143.00,46.66, (1.98)
https://www.adb.org/projects/52026-001/main#project-pds,"China, People's Republic of: Anhui Huangshan Xin'an River Ecological Protection and Green Development Project (3888/FY2019). Improve the economic and environmental conditions in the upstream of Xin'an River.",Pollution control,Wastewater management,"By 2028:
• 95% of urban population provided with access to wastewater treatment service (2019 baseline: 90%).
• Water quality at the Xin’an River interprovincial section meets the eco-compensation phosphorus indexg of <=1 (2019 baseline: 1).
By 2026:
• 85 decentralized wastewater treatment systems with a minimum capacity of 2 m3 per day installed and 14,700 connections for rural households to the wastewater sewer systems installed (2019 baseline: 0).",211.03,100.00,55.00,32.66, (1.67)
https://www.adb.org/projects/51077-003/main#project-pds,"Maldives: Greater Male Waste-to-Energy (WTE) Project (3954/FY2020). Establish a sustainable regional solid waste management system for the Greater Male region and its neighboring outer islands by (i) developing treatment (proven WTE technology), recycling, and disposal infrastructure; (ii) strengthening institutional capacities for sustainable solid waste services delivery and environmental monitoring; and (iii) improving public awareness on WTE and reduce-reuse-recycle (3R).",Pollution control,Solid waste management,"By 2027:
• At least 80% of combustible municipal and commercial solid waste in the project area treated, with residuals safely disposed or recycled (2020 baseline: 0).
• 500 tons per day WTE plant with 15-year O&M contract, designed with disaster- and climate-resilient measures, established and operational (2020 baseline: 0).
• Landfill for safe disposal of WTE air pollution control residues and non-marketable bottom ashes, of at least 500,000 m3 capacity, with disaster- and climate-resilient measures operational (2020 baseline: 0).",151.13,38.21,38.21,15.43, (0.12)
https://www.adb.org/projects/49329-007/main#project-pds,"Bangladesh: Khulna Sewerage System Development Project (3978-3979/FY2020). Develop a new sewerage system in Khulna, covering commercial and densely populated areas with about 850,000 population by 2027.",Pollution control,Wastewater management,"By 2028:
•  Service coverage of sewage collection and treatment through the centralized sewerage system reached 50% of households (about 120,000 households) in the urban area of Khulna city (2019 baseline: not applicable).
•  Service coverage of fecal sludge treatment plant increased to 15% of households (about 30,000 households) in the urban area of Khulna city (2019 baseline: 2% or about 4,000 households).
By 2027:
•  Two sewage treatment plants with combined capacity of 80,000 m3/day, partly run by 1.3-MW solar power system, with climate-resilient and gender-responsive features and compliant with national effluent standards, commissioned (2019 baseline: 0).
•  269-km sewer network with climate-resilient features constructed and connected to 27,000 properties, including free sewer connections to 100% of poor and vulnerable households (2019 baseline: 0).
•  Five sewage pumping stations and three manhole pumping stations commissioned (2019 baseline: 0).
• Fecal sludge treatment plant with 160 m3/day capacity commissioned (2019 baseline: 0).",275.00,160.00,160.00,68.65, (0.61)
https://www.adb.org/projects/54333-001/main#project-pds,"Regional: Indorama Ventures Regional Blue Loan Project (4008/FY2020). Support Indorama Ventures group, a global integrated polyethylene terephthalate (PET) manufacturer, for their expansion of PET recycling capacity in India, Indonesia, the Philippines, and Thailand. Promote a circular economy for recycled PET (rPET) with industry best practices in ADB's developing member countries.",Pollution control,Solid waste management,"• Quantity of plastic for recycling in India, Indonesia, the Philippines,
and Thailand increased; employment generated; and greenhouse gas
emissions avoided.
• Additional PET or sodium polystyrene sulfonate (SPS) resins or pellets produced from rPET in India, Indonesia, the Philippines, and Thailand.
• Direct employment in the funded recycling plants generated.
• Blue and green loan status achieved.",300.00,50.00,38.00,38.00, (9.17)
https://www.adb.org/projects/53053-001/main#project-pds,"China, People's Republic of: Henan Xichuan Integrated Ecological Protection and Environmental Improvement Project (4070/FY2021). Promote environmental improvements and green development in ecologically sensitive rural areas by (i) building the capacity of the Xichuan County Government in environmental planning and management; (ii) promoting soil and water conservation through the use of high-level technology, including remote sensing, smart drip irrigation, and landscape-based rainfall runoff harvesting; and (iii) improving rural waste management and integrated urban-rural water supply systems.",Pollution control,Wastewater management,"By end of 2028:
• Water quality improved (COD concentration is reduced by 20%) at the Xi River outlet (2020 baseline: 14.9 mg/L).
• 8,600 households in 25 rural villages connected to wastewater treatment (2020 baseline: 0).
By end of 2027:
• A total of 280 km sewer pipelines and 32 rural sewage treatment facilities with 3,077 m3/day capacity constructed, serving 380,000 people (2020 baseline: 0).
• Solid waste treatment facility of 100 tons/day capacity (30 tons/day kitchen waste, and 70 tons/day municipal sludge) constructed, serving 360,000 people (2020 baseline: 0).",466.76,200.00,18.29,4.70, (0.20)
https://www.adb.org/projects/49107-009/main,"India: Integrated Urban Flood Management for the Chennai–Kosasthalaiyar Basin Project (4113/FY2021). Strengthen climate and disaster resilience in the Chennai–Kosasthalaiyar River basin. It will reduce the exposure of 1.9 million people to seasonal flooding by (i) improving climate-resilient urban flood protection infrastructure, (ii) enhancing urban flood preparedness of the Greater Chennai Corporation (the civic body that governs the city of Chennai) and of the project communities, and (iii) establishing measures for sustaining the operation and maintenance of the stormwater drainage system in the Greater Chennai Corporation.",Pollution control,Wastewater management,"By 2027:
• 588 km of new stormwater drains constructed (2021 baseline: 0).
• 175 km of stormwater drains upgraded (2021 baseline: 0).
• 11 km stretches in four primary channels (Ambattur, Korattur, Kadappakkam, and Ariyallur) rehabilitated (2021 baseline: 0).
• One stormwater pumping station of 200 kW upgraded, and one new stormwater pumping station of 200 kW commissioned (2021 baseline: 0).
• 23,000 catchpits with rainwater harvesting structures constructed (2021 baseline: 0).",470.50,251.00,81.00,53.58, (3.20)
